author_name,author_profile_link,title,url
Victoria Song,https://www.theverge.com/authors/victoria-song,The best fitness trackers to buy right now,https://www.theverge.com/22985108/best-fitness-tracker
David Pierce,https://www.theverge.com/authors/david-pierce,The best iPad to buy,https://www.theverge.com/23639378/best-ipad-apple-buy-model-price
Victoria Song,https://www.theverge.com/authors/victoria-song,The best sleep gadgets to help you catch those Zzzs,https://www.theverge.com/23291925/best-sleep-tech-trackers-earbuds-wearables
Quentyn Kennemer,https://www.theverge.com/authors/quentyn-kennemer,The DJI Pocket 3 is almost everything I wanted my iPhone camera to be,https://www.theverge.com/24152949/dji-osmo-pocket-3-opinion
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,Here are the best AirPods deals you can get right now,https://www.theverge.com/21302051/best-apple-airpods-deals
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,The best ebook reader to buy right now,https://www.theverge.com/23769068/best-ebook-readers
Allison Johnson,https://www.theverge.com/authors/allison-johnson,The best phone to buy right now,https://www.theverge.com/22163811/best-phone
Chris Welch,https://www.theverge.com/authors/chris-welch,The best wireless earbuds to buy right now,https://www.theverge.com/21309820/best-wireless-earbuds
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,The best robot vacuums,https://www.theverge.com/22997597/best-robot-vacuum-cleaner
Victoria Song,https://www.theverge.com/authors/victoria-song,The best smartwatches for Android,https://www.theverge.com/23449363/best-android-smartwatches-wear-os
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,The best instant cameras you can buy right now,https://www.theverge.com/23133103/best-instant-cameras-fujifilm-polaroid-kodak
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,"Dyson’s 360 Vis Nav is a powerful robovac, but it’s the brush that tickles me the most",https://www.theverge.com/24098771/dyson-vis-nav-robot-vacuum-hands-on
Thomas Ricker,https://www.theverge.com/authors/thomas-ricker,Anker’s latest Soundcore Sleep earbuds actually improve slumber,https://www.theverge.com/24125032/soundcore-sleep-a20-review-noise-cancelling-earbuds
Victoria Song,https://www.theverge.com/authors/victoria-song,Apple Watch Series 9 and Ultra 2 review: small but smart improvements,https://www.theverge.com/23878981/apple-watch-series-9-ultra-2-review-double-tap-precision-finding-siri
Allison Johnson,https://www.theverge.com/authors/allison-johnson,Samsung Galaxy Z Flip 6 review: the practical flip phone,https://www.theverge.com/24211507/samsung-galaxy-z-flip-6-review-screen-battery-camera
Victoria Song,https://www.theverge.com/authors/victoria-song,Garmin Vivomove Trend review: trending smarter,https://www.theverge.com/23600040/garmin-vivomove-trend-review-hybrid-smartwatch-wearable
Nilay Patel,https://www.theverge.com/authors/nilay-patel,"Apple iPhone 16 Pro review: small camera update, big difference",https://www.theverge.com/24247538/apple-iphone-16-pro-review
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,Roomba j7 Plus vs. Jet Bot AI Plus: can these robot vacuums pass the poop test?,https://www.theverge.com/22880352/irobot-roomba-j7-plus-samsung-jet-bot-ai-plus-robot-vacuum-review-comparison-test
Chris Welch,https://www.theverge.com/authors/chris-welch,Beats Studio Buds Plus review: it’s cool to be clear,https://www.theverge.com/23725921/beats-studio-buds-plus-earbuds-review-translucent-clear
Chris Welch,https://www.theverge.com/authors/chris-welch,Google Pixel Buds Pro review: the sweet sound of redemption,https://www.theverge.com/23281445/google-pixel-buds-pro-noise-canceling-earbuds-review
Allison Johnson,https://www.theverge.com/authors/allison-johnson,How to enable end-to-end encryption for your iCloud backups,https://www.theverge.com/23498690/apple-advanced-data-protection-icloud-encryption-iphone-mac-how-to
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,"SwitchBot S10 review: with plumbing hookups, this robovac and mop is actually hands-free",https://www.theverge.com/24144618/switchbot-s10-review-robot-vacuum
Verge Staff,https://www.theverge.com/authors/verge-staff,Apple Watch ban: everything you need to know,https://www.theverge.com/24009254/apple-watch-itc-ban-patent-dispute
Chris Welch,https://www.theverge.com/authors/chris-welch,Samsung Galaxy Buds 3 Pro review: light ’em up,https://www.theverge.com/24265270/samsung-galaxy-buds-3-pro-review
Victoria Song,https://www.theverge.com/authors/victoria-song,The Apple Watch SE is a first-time buyer’s smartwatch,https://www.theverge.com/23369207/apple-watch-se-2022-review-smartwatch
Victoria Song,https://www.theverge.com/authors/victoria-song,"For sale, a good night’s sleep, just $4,700",https://www.theverge.com/24279552/eight-sleep-pod-4-ultra-review-tracking
Victoria Song,https://www.theverge.com/authors/victoria-song,Hatch Restore 2 review: TikTok made me try it,https://www.theverge.com/23673132/hatch-restore-2-review-tiktok-sleep-tech
Allison Johnson,https://www.theverge.com/authors/allison-johnson,Nothing Phone 2 review: the vibes abide,https://www.theverge.com/23792961/nothing-phone-2-review-glyph-screen-battery-camera
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,"What Matters about Matter, the new smart home standard",https://www.theverge.com/22832127/matter-smart-home-products-thread-wifi-explainer
Chris Welch,https://www.theverge.com/authors/chris-welch,The LinkBuds are Sony’s strangest earbuds in years — and surprisingly good,https://www.theverge.com/22933521/sony-linkbuds-earbuds-review-features-specs
